EVTDESC_MARXISTSOCI_1010;[From.GetTitledFirstName] listened to me carefully as I explained to [From.GetHerHim] how the world really works, and [From.GetSheHe] is convinced to abandon old faith, becoming a wiser [From.GetManWoman].;;;;;;;;;;;;;x
EVTDESC_MARXISTSOCI_1011;[FromFrom.GetTitledFirstName] clearly explained how [FromFrom.GetSheHe] views the gods and the world. Listening to [FromFrom.GetHerHim], I am convinced to abandon old faith, and become an Universalist.;;;;;;;;;;;;;x
,,
marxist_society_atheism_gain;Following Universalism grants 5 Theory Contribution per month.;;;;;;;;;;;;;x,,
marxist_society_count_gain;Being a Count grants 1 Theory Contribution per month.;;;;;;;;;;;;;x,,
marxist_society_duke_gain;Being a Duke grants 2 Theory Contribution per month.;;;;;;;;;;;;;x,,
marxist_society_king_gain;Being a King grants 3 Theory Contribution per month.;;;;;;;;;;;;;x,,
marxist_society_emperor_gain;Being an Emperor grants 4 Theory Contribution per month.;;;;;;;;;;;;;x,,
marxist_society_leader_gain;Being a Standing Commissary of the society grants 5 Theory Contribution per month.;;;;;;;;;;;;;x,,
,,
opinion_marxist_society_convert;Convert to Universalism;;;;;;;;;;;;;x,,
,,
marxist_society_preach_tooltip;You are Universalist;;;;;;;;;;;;;x,,
