### events EW_flavor.100 upto EW_flavor.199

EVTDESC_coronation_A_311;Only a few more days remain before I am crowned [Root.GetTitle] before [Root.Religion.GetHighGodName] and all my subjects. Such a lavish ceremony is a rare spectacle to behold even amongst royalty.;Plus que quelques jours avant d'être consacré[Root.Get_E] [Root.GetTitle] devant [Root.Get_le_HighGod] et tous mes sujets. Ma cour est déjà remplie de vassaux et de dignitaires étrangers venus assister à ce moment fondamental de mon règne. Une cérémonie si somptueuse est un spectacle rare, même pour la royauté.;Es bleiben nur ein paar Tage bevor ich [Root.Getzumzur] [Root.GetTitle] vor [Root.Religion.GetHighGodName] und all meinen Untertanen gekrönt werde. Mein Hof ist bereits mit all meinen vornehmen Gästen gefüllt und all meine Vasallen und ausländischen Würdenträger sind gekommen, um diesen wichtigen Moment zu bezeugen. Eine solch prunkvolle Zeremonie ist ein seltenes Spektakel, das nur Königen vorenthalten ist.;;Faltan pocos días para que me coronen [Root.GetTitle] ante [Root.Religion.GetHighGodName] y todos mis súbditos. La corte ya está llena con mis distinguidos invitados. Vasallos y dignatarios extranjeros han venido para ser testigos de este momento fundamental de mi reinado. Una ceremonia tan espléndida con tantos invitados de prestigio no es un espectáculo muy común ni para la realeza.;;;;;;;;;x
EVTDESC_coronation_B_311;The time of my coronation draws near: only a few more days before I am crowned [Root.GetTitle] before God and all my subjects. My court has been already filled with all the vassals of my realm who have come to bear witness to this fundamental moment of my reign.;Plus que quelques jours avant d'être consacré[Root.Get_E] [Root.GetTitle] devant Dieu et tous mes sujets. Ma cour est déjà remplie de vassaux de mon pays venus assister à ce moment fondamental de mon règne.;Die Zeit meiner Krönung rückt näher. Es sind nur noch ein paar Tage, bis ich vor Gott und all meinen Vasallen [Root.Getzumzur] [Root.GetTitle] gekrönt werde. Mein Hof ist bereits mit allen Vasallen meines Reiches gefüllt, die Zeuge dieses wichtigen Moments meiner Herrschaft sind.;;La hora de la coronación se acerca. Unos días más y me coronarán [Root.GetTitle] ante Dios y todos mis súbditos. Mi corte ya está llena con todos los vasallos de mi reino que han venido a ser testigos de este momento fundamental de mi reinado.;;;;;;;;x
EVTDESC_coronation_C_311;The time of my coronation draws near: only a few more days before I am crowned [Root.GetTitle] before God and all my subjects. It will be a long wait with very little to do, but I hope at least that this period of seclusion will give me time to ponder upon my future responsibilities as [Root.GetTitle].;Plus que quelques jours avant d'être consacré[Root.Get_E] [Root.GetTitle] devant Dieu et tous mes sujets. Cela va être une longue attente avec très peu de choses à faire, mais j'espère au moins que cette période de réclusion me donnera le temps de réfléchir à mes futures responsabilités en tant qu[Root.Get_only_e_Title][Root.GetTitle].;Die Zeit meiner Krönung rückt näher. Es sind nur noch ein paar Tage, bis ich vor Gott und all meinen Vasallen [Root.Getzumzur] [Root.GetTitle] gekrönt werde. Es wird eine lange Wartezeit sein, mit nur sehr wenig zu tun, aber ich hoffe zumindest, dass diese Zeit der Abgeschiedenheit mit Zeit gibt, über meine zukünftige Verantwortung als [Root.GetTitle] nachzudenken.;;La hora de la coronación se acerca. Unos días más y me coronarán [Root.GetTitle] ante Dios y todos mis súbditos. Será una larga espera con poco que hacer, pero espero que al menos este periodo de aislamiento me dé tiempo para reflexionar sobre mis futuras responsabilidades como [Root.GetTitle].;;;;;;;;x
EVTDESC_coronation_D_311;The time of my coronation draws near: only a few more days before I am crowned [Root.GetTitle] before God and all my subjects. It will be a long wait and I can only hope that the day will not fall in the middle of a major battle...;Il ne reste plus que quelques jours avant que je ne sois consacré[Root.Get_E] [Root.GetTitle] devant Dieu et tous mes sujets. Ce sera une longue attente et j'espère que ce jour n'arrivera pas au beau milieu d'une bataille majeure...;Die Zeit meiner Krönung ist nahe. Es sind nur noch ein paar Tage, bis ich vor Gott und allen meinen Untertanen [Root.Getzumzur] [Root.GetTitle] gekrönt werden. Es wird eine lange Zeit des Wartens und ich kann nur hoffen, dass der Tag nicht inmitten einer großen Schlacht fallen wird...;;La hora de mi coronación se hacer: solo quedan unos días para que me coronen [Root.GetTitle] ante Dios y mis súbditos. Será una espera larga, espero no caer en una gran batalla…;;;;;;;;;x
OPT_A_coronation_311;It will never be soon enough.;Ce ne sera jamais assez tôt.;Es kann gar nicht schnell genug gehen.;;Nunca será lo bastante pronto.;;;;;;;;x

TITLE_coronation_312;Coronation of [coronation_ruler.GetTitledFirstName];Couronnement [coronation_ruler.Get_du_TitledFirstName];Krönung von [coronation_ruler.GetTitledFirstName];;Coronación de [coronation_ruler.GetTitledFirstName];;;;;;;;x
EVTDESC_coronation_A_312;I kneel before the priest as a host of vassals surrounds us in complete silence. The priest blesses me and places the crown upon my head, proclaiming me [coronation_ruler.GetTitle] of [coronation_ruler.PrimaryTitle.GetName] by grace of [Root.Religion.GetHighGodName].;Je m'agenouille devant [coronation_priest.Get_le_TitledFirstName] alors qu'une série de vassaux nous entourent dans un silence complet. [coronation_priest.Get_Le_TitledFirstName] me bénit, place la couronne sur ma tête et me proclame [coronation_ruler.GetTitle] [coronation_ruler.PrimaryTitle.Get_du_Realm] par la grâce [Root.Get_du_HighGod].;Ich kniete vor [coronation_priest.GetTitledFirstName], während uns eine Schar Vasallen in völliger Stille umgab. [coronation_priest.GetDerDie] [coronation_priest.GetTitle] segnete mich, setzte die Krone auf mein Haupt und verkündete durch die Gnade von [Root.Religion.GetHighGodName] meine Krönung [coronation_ruler.Getzumzur] [coronation_ruler.GetTitle] von [coronation_ruler.PrimaryTitle.GetName].;;Me arrodillo ante [coronation_priest.GetTitledFirstName] mientras una multitud de vasallos nos rodea en un silencio absoluto. [coronation_priest.GetElLaCap] [coronation_priest.GetTitle] me bendice y me pone la corona en la cabeza, proclamándome [coronation_ruler.GetTitle] de [coronation_ruler.PrimaryTitle.GetName] por la gracia de [Root.Religion.GetHighGodName].;;;;;;;;;x
EVTDESC_coronation_B_312;I kneel before the priest with all my reverently silent vassals surrounding us. The priest gives me an encouraging smile as he blesses me and places the Royal Crown upon my head as I feel my face turning red. He then proclaims me [coronation_ruler.GetTitle] of [coronation_ruler.PrimaryTitle.GetName] by grace of [Root.Religion.GetHighGodName].;Je m'agenouille devant [coronation_priest.Get_le_TitledFirstName] alors que tous mes vassaux nous entourent dans un silence complet. [coronation_priest.Get_Le_TitledFirstName] me fait un sourire encourageant, me bénit et place la couronne royale sur ma tête, tandis que je sens que je rougis. Puis, [coronation_priest.GetIlElle] me proclame [coronation_ruler.GetTitle] [coronation_ruler.PrimaryTitle.Get_du_Realm] par la grâce de Dieu.;Ich kniete vor [coronation_priest.GetTitledFirstName], während uns eine Schar Vasallen in völliger Stille umgab. [coronation_priest.GetDerDie] [coronation_priest.GetTitle] schenkte mir noch ein ermutigendes Lächeln, als [coronation_priest.GetSheHe] mich segnete und die Krone auf mein Haupt legte. Ich fühlte wie mein Gesicht rot wurde. Anschließend verkündete He meine Krönung [coronation_ruler.Getzumzur] [coronation_ruler.GetTitle] von [coronation_ruler.PrimaryTitle.GetName] durch die Gnade Gottes.;;Me arrodillo ante [coronation_priest.GetTitledFirstName] mientras todos mis vasallos nos rodean en un silencio absoluto. [coronation_priest.GetElLaCap] [coronation_priest.GetTitle] me da una sonrisa de ánimo al bendecirme y ponerme la corona real en la cabeza mientras enrojezco. Después me proclama [coronation_ruler.GetTitle] de [coronation_ruler.PrimaryTitle.GetName] por la gracia de Dios.;;;;;;;;x
EVTDESC_coronation_C_312;I kneel before the priest in the empty hall of my palace and, after a quick blessing, the priest summarily and places the crown upon my head, proclaiming me [coronation_ruler.GetTitle] of [coronation_ruler.PrimaryTitle.GetName] by grace of [Root.Religion.GetHighGodName].;Je m'agenouille devant [coronation_priest.Get_le_TitledFirstName] dans la grande salle vide de mon palais et, après une rapide bénédiction, [coronation_priest.Get_only_le_Title][coronation_priest.GetTitle] me bénit, place sommairement la couronne sur ma tête et me proclame [coronation_ruler.GetTitle] [coronation_ruler.PrimaryTitle.Get_du_Realm] par la grâce [Root.Get_du_HighGod].;Ich kniete in der leeren Halle meines Palastes vor [coronation_priest.GetTitledFirstName] nieder und nach einem kurzen Segen setzte [coronation_priest.Getderdie] [coronation_priest.GetTitle] kurzerhand die Krone auf meinen Kopf und krönte mich durch die Gnade von [Root.Religion.GetHighGodName] [coronation_ruler.Getzumzur] [coronation_ruler.GetTitle] von [coronation_ruler.PrimaryTitle.GetName].;;Me arrodillo ante [coronation_priest.GetTitledFirstName] en un salón vacío de palacio y tras una bendición rápida, el the priest me pone precipitadamente la corona en la cabeza, proclamándome [coronation_ruler.GetTitle] de [coronation_ruler.PrimaryTitle.GetName] por la gracia de [Root.Religion.GetHighGodName].;;;;;;;;;x
EVTDESC_coronation_D_312;As the sounds of explosions and laser fire echo throughout the cabin, the priest utters a brief prayer and summarily places the crown upon my head. A stray piece of debris hits the hull, violently shaking the ship and throwing everyone towards the side. Scrambling to his feet, the priest quickly proclaims me [coronation_ruler.GetTitle] of [coronation_ruler.PrimaryTitle.GetName] by grace of [Root.Religion.GetHighGodName].;Tandis que les cris des commandants qui ordonnent aux troupes résonnent sous la tente, [coronation_priest.Get_le_TitledFirstName] me donne une bénédiction rapide et place sommairement la couronne sur ma tête, me proclamant [coronation_ruler.GetTitle] [coronation_ruler.PrimaryTitle.Get_du_Realm] par la grâce de Dieu.;Als die Schreie der Kommandanten, die die Truppen drillen, in meinem Zelt wiederhalte, gab mir [coronation_priest.GetTitledFirstName] einen schnellen Segen, legte die Krone auf meinen Kopf und krönte mich [coronation_ruler.Getzumzur] [coronation_ruler.GetTitle] von [coronation_ruler.PrimaryTitle.GetName] unter der Gnade Gottes.;;Mientras los gritos de los comandantes realizando la instrucción resuenan en la tienda, [coronation_priest.GetTitledFirstName] me da una bendición rápida y me coloca velozmente la corona en la cabeza, proclamándome [coronation_ruler.GetTitle] de [coronation_ruler.PrimaryTitle.GetName] por la gracia de Dios.;;;;;;;;;x
OPT_A_coronation_312;My rule shall be a just one.;;;;;;;;;;;;;x

### events EW_flavor.100 upto EW_flavor.199

TITLE_EW_flavor_400;The Dharmayuddh;La reconquête ibérique;Die iberische Rückeroberung;;La Reconquista ibérica;;;;;x
EVTDESC_EW_flavor_400;The pious [Root.GetTitledFirstName] has declared [Root.GetHerHis] intention to wage war against the heathens for the Eternal Way. It is only a matter of time before zealous captains heed the call to arms and join [Root.GetHerHim] in [Root.GetHerHis] quest. [Root.GetTitledFirstName] plans to declare war within two years. Only time will tell if this endeavour will succeed.;Après une longue série de tentatives, [From.Get_le_TitledName] a commencé à préparer ses troupes et à chercher des alliés pour une nouvelle campagne ibérique visant à rendre les terres de la péninsule à la chrétienté. Pour ce faire, [From.GetIlElle] a dépensé une quantité considérable de ressources.\n\nEn réponse à la planification de la guerre par les chrétiens, les autres religions ont commencé à rassembler leurs troupes pour se défendre. C'est une affaire de quelques mois, voire d'un an, avant que les deux parties ne croisent le fer une fois de plus.;Als letzte in einer langen Reihe von Versuchen die iberische Halbinsel zurückzuerobern hat [From.GetTitledName] damit begonnen [From.GetHerHis]e Truppen vorzubereiten und nach Verbündeten zu suchen. Um die Halbinsel zurück zum Christentum zu führen hat [From.GetTitledFirstName] eine beträchtliche Menge Ressourcen ausgegeben und damit begonnen Truppen aus der ganzen Region zu sammeln.\n\nJetzt, wo die Christen einen Krieg planen, haben auch die anderen Glaubensrichtungen damit begonnen ihre Truppen zu sammeln. Es ist nur eine Frage der von Monaten oder maximal einem Jahr, bevor beide Seiten zusammenstoßen und verzweifelt versuchen werden um mehr Land in Iberien zu kämpfen.;;Como último de una larga lista de intentos para tratar de reconquistar la península ibérica, [From.GetTitledName] ha comenzado a preparar a sus tropas y buscar aliados para una nueva campaña ibérica. Buscando devolver partes de la Península a la Cristiandad, [From.GetTitledFirstName] ha gastado una considerable cantidad de recursos y empezado a reunir tropas por toda la región.\n\nCon los cristianos planeando la guerra, las otras religiones han comenzado a reunir tropas para defenderse. Es solo cuestión de meses, tal vez un año, de que ambos bandos vuelvan a chocar, tratando desesperadamente de abrirse paso para conseguir más tierras en la Península.;;;;;x
OPT_A_EW_flavor_400;Dharma shall triumph over Adharma.;L'Ibérie appartient au christianisme !;Iberien gehört dem Christentum!;;¡La península ibérica pertenece a la Cristiandad!;;;;;x
OPT_B_EW_flavor_400;Worrying.;La canaille chrétienne n'est pas à sa place ici.;Der christliche Pöbel gehört hier nicht hin.;;La escoria cristiana no tiene sitio aquí.;;;;;x

EVTDESC_EW_flavor_411;There will probably be warships showing up to fight for the faith in the upcoming Dharmayuddh, but I could invest some money into spreading the message far and wide to attract more well trained squadrons.;Il y aura probablement des hommes qui se battront pour la foi dans les prochaines guerres d'Ibérie, mais je pourrais investir un peu d'argent pour diffuser plus largement le message et ainsi attirer des troupes mieux formées.;Es wird wahrscheinlich Männer geben, die für den Glauben im kommenden Krieg um Iberien kämpfen werden, aber wenn ich etwas Geld investiere und die Botschaft weit und breit verbreiten würde, könnte es mehr trainierte Truppen anziehen.;;Seguro que aparecen hombres para luchar por la religión en las próximas guerras por la península ibérica, pero podría invertir algo de dinero para difundir el mensaje por doquier para atraer más tropas bien entrenadas.;;;;;x
OPT_A_EW_flavor_411;A small sum should be enough.;Une petite somme devrait suffire.;Eine kleine Summe sollte ausreichen.;;Bastará con una pequeña suma.;;;;;x
OPT_B_EW_flavor_411;We need to make sure everyone hears about it.;Nous devons nous assurer que tout le monde en entend parler.;Wir müssen sicherstellen, dass jeder davon erfährt.;;Debemos asegurarnos de que todos se enteran.;;;;;x
OPT_C_EW_flavor_411;Sadly, I cannot afford it.;Malheureusement, je ne peux pas me le permettre.;Leider kann ich mir das nicht leisten.;;Por desgracia, no me lo puedo permitir.;;;;;x

EVTDESC_EW_flavor_412;A massive creature of a [new_commander.GetManWoman] is brought in front of me, supposedly [new_commander.GetSheHe] has quite the renown as a commander. After seeing [new_commander.GetHerHis] interactions with some of my men, it is easy to see [new_commander.GetSheHe] knows what [new_commander.GetSheHe] is doing.;Un[new_commander.Get_E] [new_commander.GetManWoman] massi[new_commander.GetFVe] dont on dit être un[new_commander.Get_E] commandant[new_commander.Get_E] réputé[new_commander.Get_E] est amené[new_commander.Get_E] devant moi. Après avoir vu ses interactions avec certains de mes hommes, il est facile de voir qu'[new_commander.GetIlElle] sait ce qu'[new_commander.GetIlElle] fait.;Eine mächtige Kreatur von [new_commander.GetManWoman] wird vor mich gebracht. Angeblich hat [new_commander.GetSheHe] einen guten Ruf als Kommandant. Nachdem Ich [new_commander.Getihnsie] dabei beobachtet habe, wie [new_commander.GetSheHe] mit meinen Männern umgeht sehe ich, dass [new_commander.GetSheHe] weiß, was [new_commander.GetSheHe] tut.;;Se presenta ante mí un[new_commander.GetXA] [new_commander.GetManWoman] inmens[new_commander.GetOA] con una gran reputación como comandante. Tras ver cómo trata con mis hombres, es fácil ver que sabe lo que hace.;;;;;x
OPT_A_EW_flavor_412;You'll fit right in!;Je suis sûr[Root.Get_E] que vous serez à la hauteur !;Ich bin mir sicher, dass ihr hier rein passt.;;¡Seguro que encajarás!;;;;;x
OPT_B_EW_flavor_412;I've got just the job for you.;J'ai le travail parfait pour vous !;Ich habe genau den richtigen Job für euch!;;¡Tengo el trabajo perfecto para ti!;;;;;x
OPT_C_EW_flavor_412;Actually, I do not think we need another commander.;En fait, je pense que nous n'avons pas besoin d'un autre commandant.;Eigentlich brauchen wir momentan keinen weiteren Kommandanten.;;En realidad, creo que no necesito otro comandante.;;;;;x

EVTDESC_EW_flavor_413;A captain of a fleet of hyperspace tunnelers appears at my court, trying to sell his services in the upcoming wars. Some of my commanders question the need for these ships, but surely I could find a use for them.;Le capitaine d'une petite flotte de navires est venu à ma cour et essaye de vendre ses services pour les guerres à venir. Certains de mes commandants remettent en question le besoin de navires, mais je pourrais certainement trouver comment les utiliser.;Der Kapitän einer kleinen Flotte von Schiffen ist an meinem Hof erschienen und versucht seine Dienste für den kommenden Krieg zu verkaufen. Einige meiner Kommandanten bezweifeln die Notwendigkeit von Schiffen, aber ich könnte sicherlich einen Nutzen für sie finden.;;Aparece en mi corte el capitán de una pequeña flota, tratando de vender sus servicios en las guerras que están por venir. Algunos de mis comandantes cuestionan la necesidad de barcos, pero seguro que puedo encontrarles un uso.;;;;;x
OPT_A_EW_flavor_413;I will happily take you up on the offer.;Je serai ravi[Root.Get_E] de vous avoir à mon service.;Ich nehme das Angebot gerne an.;;Será un placer tomarte la palabra.;;;;;x
OPT_B_EW_flavor_413;You wouldn't happen to know any more captains, would you?;Vous ne connaîtriez pas d'autres capitaines ?;Ihr kennt nicht zufällig noch andere Kapitäne!?;;No conocerás más capitanes, ¿verdad?;;;;;x
OPT_C_EW_flavor_413;We aren't going to need those anytime soon.;Nous n'avons pas besoin de navires pour combattre dans les terres !;Wir brauchen keine Schiffe, um an Land zu kämpfen!;;¡No necesitamos barcos para luchar en tierra!;;;;;x

